"Time (s)","CO2 Concentration (ppm)"
"0","849"
"0.05","1419"
"0.1","1223"
"0.15","1317"
"0.2","597"
"0.25","381"
"0.3","209"
"0.35","607"
"0.4","53"
"0.45","155"
"0.5","266"
"0.55","819"
"0.6","762"
"0.65","589"
"0.7","1480"
"0.75","1238"
"0.8","1113"
"0.85","418"
"0.9","563"
"0.95","473"
"1","1459"
"1.05","973"
"1.1","1231"
"1.15","533"
"1.2","1549"
"1.25","1879"
"1.3","1650"
"1.35","299"
"1.4","1560"
"1.45","1551"
"1.5","1274"
"1.55","12"
"1.6","1550"
"1.65","1565"
"1.7","1307"
"1.75","1127"
"1.8","641"
"1.85","1974"
"1.9","189"
"1.95","1898"
"2","867"
"2.05","811"
"2.1","671"
"2.15","1158"
"2.2","1563"
"2.25","795"
"2.3","515"
"2.35","1103"
"2.4","1015"
"2.45","1781"
"2.5","1827"
"2.55","167"
"2.6","666"
"2.65","1210"
"2.7","1718"
"2.75","1818"
"2.8","1029"
"2.85","540"
"2.9","865"
"2.95","1237"
"3","192"
"3.05","447"
"3.1","1164"
"3.15","958"
"3.2","958"
"3.25","1217"
"3.3","1217"
"3.35","1936"
"3.4","1936"
"3.45","1788"
"3.5","1788"
"3.55","1912"
"3.6","1912"
"3.65","667"
"3.7","667"
"3.75","661"
"3.8","661"
"3.85","698"
"3.9","698"
"3.95","679"
"4","679"
"4.05","365"
"4.1","365"
"4.15","1703"
"4.2","1703"
"4.25","1977"
"4.3","747"
"4.35","747"
"4.4","48"
"4.45","48"
"4.5","1903"
"4.55","621"
"4.6","621"
"4.65","1494"
"4.7","1427"
"4.75","1427"
"4.8","1152"
"4.85","914"
"4.9","914"
"4.95","43"
"5","43"
"5.05","410"
"5.1","410"
"5.15","1311"
"5.2","1311"
"5.25","971"
"5.3","971"
"5.35","857"
"5.4","857"
"5.45","1683"
"5.5","1683"
"5.55","711"
"5.6","711"
"5.65","711"
"5.7","522"
"5.75","1441"
"5.8","1441"
"5.85","1870"
"5.9","1870"
"5.95","1732"
"6","377"
"6.05","377"
"6.1","1377"
"6.15","1377"
"6.2","112"
"6.25","48"
"6.3","48"
"6.35","101"
"6.4","101"
"6.45","245"
"6.5","805"
"6.55","805"
"6.6","503"
"6.65","489"
"6.7","489"
"6.75","889"
"6.8","494"
"6.85","494"
"6.9","1316"
"6.95","1316"
"7","1316"
"7.05","1368"
"7.1","501"
"7.15","501"
"7.2","1875"
"7.25","1875"
"7.3","1719"
"7.35","630"
"7.4","630"
"7.45","138"
"7.5","138"
"7.55","1575"
"7.6","1370"
"7.65","1370"
"7.7","261"
"7.75","261"
"7.8","1857"
"7.85","1662"
"7.9","1662"
"7.95","1290"
"8","1290"
"8.05","534"
