"Time (s)","Flow Rate"
"0","369"
"0.05","299"
"0.1","626"
"0.15","179"
"0.2","272"
"0.25","353"
"0.3","353"
"0.35","266"
"0.4","177"
"0.45","581"
"0.5","663"
"0.55","505"
"0.6","323"
"0.65","716"
"0.7","97"
"0.75","377"
"0.8","542"
"0.85","757"
"0.9","713"
"0.95","565"
"1","95"
"1.05","440"
"1.1","98"
"1.15","289"
"1.2","706"
"1.25","220"
"1.3","194"
"1.35","550"
"1.4","17"
"1.45","696"
"1.5","442"
"1.55","495"
"1.6","191"
"1.65","147"
"1.7","208"
"1.75","268"
"1.8","274"
"1.85","560"
"1.9","207"
"1.95","255"
"2","276"
"2.05","438"
"2.1","403"
"2.15","775"
"2.2","54"
"2.25","725"
"2.3","248"
"2.35","612"
"2.4","348"
"2.45","773"
"2.5","24"
"2.55","170"
"2.6","333"
"2.65","157"
"2.7","537"
"2.75","233"
"2.8","473"
"2.85","454"
"2.9","530"
"2.95","0"
"3","514"
"3.05","557"
"3.1","502"
"3.15","547"
"3.2","703"
"3.25","606"
"3.3","403"
"3.35","480"
"3.4","458"
"3.45","380"
"3.5","142"
"3.55","183"
"3.6","571"
"3.65","30"
"3.7","158"
"3.75","598"
"3.8","1"
"3.85","449"
"3.9","183"
"3.95","524"
"4","266"
"4.05","560"
"4.1","171"
"4.15","317"
"4.2","645"
"4.25","254"
"4.3","766"
"4.35","792"
"4.4","552"
"4.45","616"
"4.5","461"
"4.55","253"
"4.6","794"
"4.65","331"
"4.7","524"
"4.75","724"
"4.8","510"
"4.85","320"
"4.9","736"
"4.95","349"
"5","667"
"5.05","458"
"5.1","334"
"5.15","214"
"5.2","434"
"5.25","611"
"5.3","611"
"5.35","675"
"5.4","710"
"5.45","379"
"5.5","379"
"5.55","46"
"5.6","46"
"5.65","121"
"5.7","121"
"5.75","359"
"5.8","359"
"5.85","84"
"5.9","84"
"5.95","519"
"6","519"
"6.05","225"
"6.1","225"
"6.15","798"
"6.2","798"
"6.25","765"
"6.3","765"
"6.35","321"
"6.4","321"
"6.45","432"
"6.5","432"
"6.55","617"
"6.6","617"
"6.65","422"
"6.7","422"
"6.75","362"
"6.8","362"
"6.85","257"
"6.9","257"
"6.95","557"
"7","557"
"7.05","755"
"7.1","755"
"7.15","632"
"7.2","632"
"7.25","56"
"7.3","56"
"7.35","599"
"7.4","599"
"7.45","352"
"7.5","352"
"7.55","223"
"7.6","223"
"7.65","31"
"7.7","31"
"7.75","433"
"7.8","433"
"7.85","376"
"7.9","376"
"7.95","376"
"8","376"
"8.05","164"
"8.1","164"
"8.15","727"
"8.2","727"
"8.25","361"
"8.3","361"
"8.35","132"
"8.4","132"
"8.45","462"
"8.5","462"
"8.55","359"
"8.6","359"
"8.65","614"
"8.7","614"
"8.75","495"
"8.8","495"
"8.85","573"
"8.9","573"
"8.95","221"
"9","221"
"9.05","262"
"9.1","262"
"9.15","450"
"9.2","450"
"9.25","563"
"9.3","563"
"9.35","314"
"9.4","314"
"9.45","341"
"9.5","341"
"9.55","234"
"9.6","234"
"9.65","453"
"9.7","453"
"9.75","10"
"9.8","10"
"9.85","10"
"9.9","10"
"9.95","382"
"10","382"
"10.05","487"
"10.1","487"
"10.15","24"
"10.2","24"
"10.25","623"
"10.3","623"
"10.35","509"
"10.4","509"
"10.45","655"
"10.5","655"
"10.55","675"
"10.6","675"
"10.65","59"
"10.7","59"
"10.75","498"
"10.8","498"
"10.85","684"
"10.9","684"
"10.95","740"
"11","740"
"11.05","513"
"11.1","513"
"11.15","400"
"11.2","400"
"11.25","186"
"11.3","186"
"11.35","384"
"11.4","384"
"11.45","619"
"11.5","619"
"11.55","747"
"11.6","747"
"11.65","581"
"11.7","581"
"11.75","619"
"11.8","619"
"11.85","353"
"11.9","353"
"11.95","66"
"12","66"
"12.05","167"
"12.1","167"
"12.15","749"
"12.2","749"
"12.25","727"
"12.3","727"
"12.35","274"
"12.4","274"
"12.45","598"
"12.5","598"
"12.55","246"
"12.6","246"
"12.65","112"
"12.7","112"
"12.75","413"
"12.8","413"
"12.85","154"
"12.9","154"
"12.95","759"
"13","759"
"13.05","783"
"13.1","783"
"13.15","356"
"13.2","356"
"13.25","520"
"13.3","520"
"13.35","775"
"13.4","775"
"13.45","218"
"13.5","218"
"13.55","462"
"13.6","462"
"13.65","515"
"13.7","515"
"13.75","382"
"13.8","382"
"13.85","370"
"13.9","370"
"13.95","795"
"14","795"
"14.05","125"
"14.1","125"
"14.15","646"
"14.2","646"
"14.25","792"
"14.3","792"
"14.35","20"
"14.4","20"
"14.45","349"
"14.5","349"
"14.55","728"
"14.6","728"
"14.65","623"
"14.7","623"
"14.75","564"
"14.8","564"
"14.85","502"
"14.9","502"
"14.95","51"
"15","51"
"15.05","205"
"15.1","205"
"15.15","612"
"15.2","612"
"15.25","133"
"15.3","133"
"15.35","694"
"15.4","694"
"15.45","598"
"15.5","598"
"15.55","436"
"15.6","436"
